id	name
-3	Somaliland|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
-2	Kosovo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|0|0|0
-1	Northern Cyprus|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
4	Afghanistan|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|0|0|0
8	Albania|0|0|0|0|0|0|0|0|0|0|0|3|0|0|10|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|3|0|0|10
10	Antarctica|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
12	Algeria|32|51|43|30|58|59|58|84|0|0|76|94|119|118|94|d3.rgb(204,0,0)|51|43|30|58|59|58|84|0|0|76|94|119|118|94
16	American Samoa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20	Andorra|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|0|0|0
24	Angola|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|0|0|0
28	Antigua and Barbuda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|0|0|0
31	Azerbaijan|0|203|234|246|270|281|246|287|226|264|254|193|144|156|168|d3.rgb(0,0,0)|203|234|246|270|281|246|287|226|264|254|193|144|156|168
32	Argentina|1062|691|718|792|786|1054|1020|937|801|640|552|688|735|643|509|d3.rgb(255,165,0)|691|718|792|786|1054|1020|937|801|640|552|688|735|643|509
36	Australia|1928|2187|2364|2418|2559|2555|2837|2718|2821|2494|2409|2383|2627|3061|1988|d3.rgb(255,255,0)|2187|2364|2418|2559|2555|2837|2718|2821|2494|2409|2383|2627|3061|1988
40	Austria|1961|1815|1932|2120|2248|2270|2271|2385|2298|2263|2424|2154|2258|2162|2092|d3.rgb(255,255,0)|1815|1932|2120|2248|2270|2271|2385|2298|2263|2424|2154|2258|2162|2092
44	Bahamas|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
48	Bahrain|0|0|0|0|0|0|0|0|0|0|0|1|3|3|6|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|1|3|3|6
50	Bangladesh|70|59|43|58|48|50|22|29|60|55|66|37|67|60|44|d3.rgb(204,0,0)|59|43|58|48|50|22|29|60|55|66|37|67|60|44
51	Armenia|119|140|200|151|0|206|192|135|226|116|136|121|137|125|121|d3.rgb(204,0,0)|140|200|151|0|206|192|135|226|116|136|121|137|125|121
52	Barbados|0|0|0|2|0|0|0|3|1|0|0|0|0|3|1|d3.rgb(0,0,0)|0|0|2|0|0|0|3|1|0|0|0|0|3|1
56	Belgium|577|571|601|519|514|517|490|454|575|669|620|636|755|715|889|d3.rgb(255,165,0)|571|601|519|514|517|490|454|575|669|620|636|755|715|889
60	Bermuda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|0|0|0
64	Bhutan|0|0|0|0|0|0|0|0|0|0|0|0|3|3|0|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|0|3|3|0
68	Bolivia, Plurinational State of|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
70	Bosnia and Herzegovina|31|52|0|32|50|66|55|0|59|0|56|43|2|7|41|d3.rgb(204,0,0)|52|0|32|50|66|55|0|59|0|56|43|2|7|41
72	Botswana|0|0|0|0|0|0|0|0|0|0|0|1|5|8|4|d3.rgb(0,0,0)|0|0|0|0|0|0|0|0|0|0|1|5|8|4
74	Bouvet Island|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
76	Brazil|3179|3439|3481|3866|4044|4054|3956|4194|4280|4271|4228|4695|4798|4959|4659|d3.rgb(255,255,0)|3439|3481|3866|4044|4054|3956|4194|4280|4271|4228|4695|4798|4959|4659
84	Belize|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|d3.rgb(0,0,0)|0|0|0|0|0|1|0|0|0|0|0|0|0|0
86	British Indian Ocean Territory|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
