"id"	"name"
4	"Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
248	"Åland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
8	"Albania,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10"
12	"Algeria,32,51,43,30,58,59,58,84,0,0,76,94,119,118,94"
16	"American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20	"Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
24	"Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
660	"Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
10	"Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
28	"Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
32	"Argentina,1062,691,718,792,786,1054,1020,937,801,640,552,688,735,643,509"
51	"Armenia,119,140,200,151,0,206,192,135,226,116,136,121,137,125,121"
533	"Aruba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
36	"Australia,1928,2187,2364,2418,2559,2555,2837,2718,2821,2494,2409,2383,2627,3061,1988"
40	"Austria,1961,1815,1932,2120,2248,2270,2271,2385,2298,2263,2424,2154,2258,2162,2092"
31	"Azerbaijan,0,203,234,246,270,281,246,287,226,264,254,193,144,156,168"
44	"Bahamas, The,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2"
48	"Bahrain,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6"
50	"Bangladesh,70,59,43,58,48,50,22,29,60,55,66,37,67,60,44"
52	"Barbados,0,0,0,2,0,0,0,3,1,0,0,0,0,3,1"
112	"Belarus,994,930,895,1082,1065,1166,1188,1405,1510,1753,1759,1725,1681,1489,652"
56	"Belgium,577,571,601,519,514,517,490,454,575,669,620,636,755,715,889"
84	"Belize,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
204	"Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
60	"Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
64	"Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0"
68	"Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9"
535	"Bonaire, Saint Eustatius and Saba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
70	"Bosnia and Herzegovina,31,52,0,32,50,66,55,0,59,0,56,43,2,7,41"
72	"Botswana,0,0,0,0,0,0,0,0,0,0,0,1,5,8,4"
74	"Bouvet Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
76	"Brazil,3179,3439,3481,3866,4044,4054,3956,4194,4280,4271,4228,4695,4798,4959,4659"
86	"British Indian Ocean Territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
92	"British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
96	"Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26"
100	"Bulgaria,231,283,289,278,263,261,243,211,249,242,243,262,245,282,218"
854	"Burkina Faso,2,0,0,1,2,1,0,0,0,0,2,0,0,0,0"
108	"Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
132	"Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
116	"Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2"
120	"Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
124	"Canada,4187,3963,3959,3929,5231,5183,5522,4998,5061,5067,4550,4754,4709,4567,4198"
136	"Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
140	"Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
148	"Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
152	"Chile,241,246,391,329,382,361,291,403,531,343,328,339,336,340,452"
