id	name
-3	Somaliland|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
-2	Kosovo|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
-1	Northern Cyprus|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
4	Afghanistan|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
8	Albania|0|0|0|0|0|0|0|0|0|0|0|3|0|0|10|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(204,0,0)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(204,0,0)
10	Antarctica|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
12	Algeria|32|51|43|30|58|59|58|84|0|0|76|94|119|118|94|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)
16	American Samoa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
20	Andorra|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
24	Angola|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
28	Antigua and Barbuda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)|d3.rgb(128,128,128)
31	Azerbaijan|0|203|234|246|270|281|246|287|226|264|254|193|144|156|168|d3.rgb(128,128,128)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(255,165,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)|d3.rgb(204,0,0)
32	Argentina|1062|691|718|792|786|1054|1020|937|801|640|552|688|735|643|509|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)|d3.rgb(255,165,0)
36	Australia|1928|2187|2364|2418|2559|2555|2837|2718|2821|2494|2409|2383|2627|3061|1988|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)
40	Austria|1961|1815|1932|2120|2248|2270|2271|2385|2298|2263|2424|2154|2258|2162|2092|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)|d3.rgb(255,255,0)
